Added from Cro-FiReDa,Sentence,Label,,,
0,"iako je imao izlete u druge žanrove (što nas ne ubije), znak raspoznavanja iliti pogonsko gorivo redateljske karijere urugvajskog filmaša fedea alvareza je horor.",1,,0,1027
0,godine 2013. alvarez je snimio dugometražni prvijenac – riječ je o remakeu kultnog horora “zla smrt”.,1,,1,1095
0,nova je verzija ostvarila dobre komercijalne rezultate i solidan prijem kod kritike.,0,,2,1001
0,nakon filma alvarez je napravio izlet u svijet serija (epizoda “od sumraka do zore”) da bi 2016. godine stigao najveći hit dosadašnje redateljeve karijere – ne diši je postigao ogroman komercijalan uspjeh (10 milijuna uloženih u film donijelo skoro 160 milijuna zarade na svjetskim kino blagajnama).,0,,,
0,“ne diši” je kombinacija trilera i horora i riječ je o uspjelom filmu kojem su glavne vrline napetost i vrlo uvjerljiv prikaz klaustrofobičnog ugođaja.,0,,,
0,saznat ćemo uskoro… “romulus” je intenzivniji i zanimljiviji film od “prometeja” i “saveza”.,0,,,
0,"alvarez kombinira horor i akciju, ne zaboravlja pozadinsku priču odnosno korporativnu zavjeru važnu za filmove o ksenomorfu.",0,,,
0,kada je riječ o napetosti i neizvjesnosti “romulus” je inferioran “alienu” i “aliensu” – redatelj pokušava nadoknaditi nedostatak napetosti i iznenađenja novim rješenjima (bestežinski obračun…) i krvavijim scenama.,2,,,
0,"film vizualno izvrsno izgleda – scenografija je, većinom, vrlo detaljno i uvjerljivo izrađena (u mnogim je trenucima inspirirana prethodnim, u tekstu spomenutim, alien filmovima).",0,,,
0,puno je pažnje posvećeno izgledu ksenomorfa – od odraslog primjerka do scena kada je ksenomorf na početku postojanja.,0,,,
0,"“romulus” je film u kojem su računalni efekti korišteni u, za današnje blockbuster standarde, vrlo malo trenutaka.",1,,,
0,pristup koji treba pozdraviti jer čitavoj priči daje dozu autentičnosti i uvjerljivosti.,0,,,
0,protagonisti filma pripadaju mlađoj generaciji.,1,,,
0,"riječ o dvadesetogodišnjacima – alvarez je i kroz mladost likova  priču o ksenomorfu želio približiti novim, mlađim generacijama te pokazati kako se i mlađa ekipa može suočiti s nevjerojatnim užasom i smrtnom prijetnjom.",1,,,
0,"nije problem u godinama, problem je u nedostatku karizme i osobnosti kod većine likova (time je i empatija gledatelja prema protagonistima bitno smanjena).",2,,,
0,za razliku od ratnice vasquez; bishopa ili hicksa.,0,,,
0,"u odnosu na filmove “prometej” i “alien: savez”, “romulus” je korak naprijed kada je o riječ o filmovima alien franšize.",0,,,
0,fede alvarez vraća se na početak priče – inspiraciju za film pronalazi u najboljim filmovima serijala i stvara pristojan alien film.,0,,,
0,posljednji trenuci filma sugeriraju nastavak o kojem će odlučiti rezultati na svjetskim kino blagajnama… ,1,,,
0,"kad bih radio listu omiljenih redatelja mlađe generacije, onda bi mi fede alvarez definitvno bio u samom vrhu.",0,,,
0,"fede je filmaš čiji rad baš cijenim, i to prije svega jer gotovo u svakom svom filmu, posebice kada su u pitanju horori „don’t breathe“ ili „evil dead“, kod gledatelja uspije izazvati osjećaj napetosti, toliko bitan za horor žanr.",0,,,
0,"u tom pogledu moram reći kako sam s oduševljenjem dočekao vijest kako će upravo alvarez režirati „alien: romulus“, najnoviji film, sedmi iz kultne franšize „alien“, odnosno ako bismo računali i dva „crossover filma, „alien vs predator“ i „alien vs predator: requiem“, ukupno deveti.",0,,,
0,"no, nekako se čini kako su među obožavateljima cijenjena samo prva dva naslova pod redateljskim palicama dvojice filmskih gromada ridleya scotta (alien) i jamesa camerona (aliens), tako da vjerujem kako će obožavatelje razveseliti vijest kako će se radnja alvarezovog filma događati u razdoblju između aliena i aliensa.",0,,,
0,"ako je suditi po tek objavljenom traileru, čini se kako je alvarez želio zadržati ton, stil i atmosferu koju su u svojim filmovima imali cameron i scott.",1,,,
0,"ono što svakako veseli definitivno je činjenica kako je alvarez itekako blizak horor žanru, tako da očekujem od njega u ovom filmu neki pamtljiv trenutak koji će izazvati pravu jeza reakciju, barem približno onoj koju su u originalu osjetili gledatelji scottovog klasika, i to kroz jednu od najpoznatijih filmskih scena u povijesti.",0,,,
0,"izgleda kako nas upravo to i očekuje s obzirom na to da je glavna glumica filma, isabela merced, izjavila kako je na snimanju posebno bila zgrožena s jednom scenom, a koju ekipa sa seta nije mogla niti gledati.",1,,,
0,upravo se na tu scenu i aludira i u uvodnom kadru kojeg vidimo u traileru.,1,,,
0,"od ostalih glumačkih imena koje ćemo vidjeti u filmu svakako treba izdvojiti cailee spaeny, davida jonssona, archieja renauxa, spikea fearnana i aileen wu.",1,,,
0,„u svemiru te nitko ne može čuti kad vrištiš.“,1,,,
