Sentence,Label
"Očigledno nakon što sam pročitao na internetu, ovo je doista bio nastavak tog filma, iako mislim da je ovo bio samostalan jer se ovdje nisu pojavili likovi iz originalnog filma.",1
"Jedan od njih će čak iskoristiti vlastitu traumu u svoju korist, odnosno priliku za zaradu, dok će drugi, bez obzira na suptilnost i poznavanje vlastitih granica, napraviti sličnu stvar u smislu zadovoljavanja ambicije i uživanja u spektaklu vlastitog i tuđeg života.",1
"Btw, akcija je bila brza, brutalna i dosta grafika.",0
Priča je u osnovi prava linija prevare i manipulacije koja se mogla očekivati u samoj Oliverovoj uvodnoj sceni samo je pitanje saznanja koliko daleko je ovaj lik spreman da ide sa svojim postupcima.,1
I neprestano.,1
"I upravo iz tog razloga ona poseže za demonskim ljubavnikom, odnosno s jedinim bićem koji se može povezati s tom ""mračnom"" stranom njene osobnosti, a što nas i uvodi u taj drugi, senzualniji, erotičniji svijet.",1
"No, Blijedoplavo oko, Netflixov film iz 2022. godine s Edgarom Allanom Poeom kao likom, uvodi nas u svoj gotički svijet ne smrću jedne dame, već jednog muškarca.",1
"""Konklava"" stiže uoči teških trenutaka za Katoličku Crkvu kada je papa Franjo u neizvjesnoj situaciji i kada postoji velika mogućnost da se održi nova konklava.",0
"Ime Harvey, pretpostavljam, nije odabrano slučajno, već kao referenca na Weinsteina, a Quaid je svoj posao odradio jednostavno odlično.",0
"Naime, umjesto očekivane igre ""mačke i miša"", gledatelj ulazi u sferu osvetničkog filma u kojem se ne biraju sredstva za ostvarivanje cilja.",1
Bez obzira kakve tehničke mogućnosti tamo posjedujemo.,1
Ono što ovaj remake čini superiornijim u odnosu na original prije svega je James McAvoy koji u filmu ima glavnu ulogu.,0
"U njegovom pogledu može se osjetiti nesigurnost, baš prigodno za nekoga tko je prepun žaljenja.",1
"""Konklava"" je u hrvatska kina stigla 7. studenog, a kritičari Jutarnjeg lista Damjan Raknić u novoj epizodi ""Šalabahtera iz filma"" donosi četiri razloga zbog kojih je trebate pogledati i jedan zbog kojeg je trebate preskočiti.",1
"Njena komunikacija s ostalim, puno odraslijim osobama, doslovno ima tu neku razigranu iskrenost, što stvara određenu dozu humora, ali i našu simpatiju prema njenom liku.",1
"U filmskom svijetu prepunom superjunačkih filmova, The Pale Blue Eye možemo nazvati ""origin storyjem"" Edgara Allana Poa.",1
"Ali kada pogledamo samu srž koju Sve u isto vrijeme nosi, tada ćemo vidjeti kako ovdje nije riječ o multiverzumu.",1
"Jamesov lik istovremeno je šarmantan i zastrašujući, i to je ona velika razlika koja čini prevagu prema kvaliteti ovog filma.",0
"Slično se može reći i za ostale likove u filmu, posebice kada je u pitanju Ricky ""Jupe"" Park kojeg je portretirao talentirani Steve Yeun.",1
Ljepota okruženja kao prikaz ljepote cijelog života žena koje su imale i koji na takav način i dalje živi.,0
"Drugim riječima, nadate li se klasičnom whodunnitu u čijem će trećem činu Lawrence slavodobitno razotkriti papinog ubojicu, spektakularnim jurnjavama papamobilom po Trgu svetog Petra ili, recimo, uzbudljivoj sekvenci hakiranja Vatikanskog tajnog arhiva, ostat ćete duboko razočarani.",0
"Takve tople boje bi više odgovarale nekom ""feel good"" filmu, pa je u tom pogledu jasno kako Kendrick ima drugačiji pogled na krimi žanr.",1
"Nevjerojatna je raznolikost njene pojave kao Ellen, gdje je vidimo kako efektivno radi više stvari odjednom.",0
"Iako su i Drakula i Nosferatu vampiri, Nosferatu nije zavodljiv i elegantan poput Drakule.",1
"Ellen se u filmu fizički bori protiv toga, što je posebno vidljivo kroz demonsku opsjednutost, odnosno histeričnim napadima kako se to prije klasificiralo.",1
"Standardi ljepote i želja za mladom kožom, zategnutom guzicom i čvrstim grudima dovodi nas do ludila.",2
"No, općenito gledajući, glazba u filmu ima jako ključnu ulogu, poput primjerice ""Black Velvet"", Allanah Myles, a koja posebno služi poput neke vrste katalizatora za (seksualnu) napetost, što opet odgovara atmosferi koju diše film.",1
"Tome, dakako, pomažu i uvjerljive interakcije među njima, a koja je opet pojačana i vizualnim dijelom kroz prezentaciju samog jela, odnosno lika i (ne)djela protagonista.",0
"Da ne ulazim previše u detalje, to je jedan od zapleta zbog kojeg oni ustvari i dođu Paddyju i Ciari u posjet.",1
"Mi samo čujemo što se događa, a mašta je uvijek gora od svega onoga što se može pokazati ili staviti na ekran.",1
"No, ni u jednom trenutku nisam osjetio kako Villeneuve teži nekom savršenstvu.",1
"Redatelj i scenarist Jordan Peele ponovo je zaintrigirao američku, pa i svjetsku javnost.",1
"Strava više nije izolirana u zabačenim šumama ili prokletim kućama, ona je njen konstitutivni dio.",1
"Prostorije palače ispunjene su uspomenama i tjeskobom vani je oluja, vjetar udara na vrata, more bjesni. prisutni ne mogu izaći.",1
"Šest godina kasnije Raimi će se vratiti na mjesto zločina filmom ""Evil Dead 2"" koji će u jednakoj mjeri služiti kao remake kao i nastavak izvornog filma, a u njemu osim što će ponoviti sve ključne elemente uključujući kolibu u šumi, glavnog junaka Asha, Necronomicon, zle deadite i motornu pilu.",1
"Treća točka je možda upitna, ali ako se naslove iz Millerovog serijala smatra filmovima za mušku publiku, i to za one u već ozbiljnim godinama koji su odrasli uz prve nastavke australske franšize, onda je odluka da se snimi film s fokusom na ženskog lika već sama po sebi riskantna jer to je generacija u kojoj ima mnogo onih koji se protive ""feminizaciji"" Hollywooda i maštaju o dobrim, starim vremenima u testosteronskim osamdesetima kad su Sly i Arnie vladali ekranima.",2
"Kako bi što prije otkrili krivca zapovjednici učilišta pozivaju ratnog veterana, sada poznatog istražitelja Augustusa Landora.",0
Prosječan?,1
Doslovno.,1
"Počinje sa preciznom jasnoćom i svrhom u vezi sa svojom varijacijom na opsesiju, mehanikama kako to funkcioniše i nekim osnovnim idejama o našoj želji da se plašimo i delimo ta iskustva.",1
"Uostalom, tko zapravo ne mašta o tome, posebice u današnjem svijetu ""lažnog savršenstva"".",1
"Njena istovremena snaga i ranjivost itekako je prirodna, dok s razvojem radnje postaje prava ""coolerica"", i to kroz sliku motiva svega onoga što vežemo uz Evil Dead.",0
"Ako ste hardcore fan Saw franšize, Saw X će vam biti jedan od najboljih dijelova, ali ako želite malo više horor/triler nadraživosti, mogao bi vam biti zabavan.",0
"""Konklava"" je zanimljiv, intrigantan pa i provokativan prikaz izbora prvog čovjeka Katoličke crkve.",1
"Dakle, šanse za takvo nešto ipak postoje, ali najvjerojatnije treba proći još dosta vremena da se ovakav film uopće integrira u šarolik filmski kompendij.",0
"I hoće, ali ne na onaj način na koji su zamislili.",1
"No, smatra se da će tako biti i u slučaju kardinala Adeyemija, inače crnca, Afroamerikanca, a već je samo ta činjenica poražavajuća za sve ostale članove konklave.",1
"I kako odmiče film svima je jasno da upravo Benitez dobiva sve veću potporu konklave i da onaj isti ""klan"" koji je podržavao Bellinija polako počinje lobirati za Beniteza.",1
"U njegovoj kutiji filmske čokolade ima hitova koji su iznenadili završetkom (""Šesto čulo""), vrhunskih poslastica poput ""Neslomljivih"", ""Zaselka"" ili ""Misterioznih znakova"", ali i filmskih ostvarenja koji su teški promašaj na svim razinama (""Posljednji Airbender"", ""After Earth"").",1
"Prvi je film iz 2004. godine tako dao odgovor na pitanje tko uopće želi gledati takvu krvavu eksploataciju od koje se često grči želudac, postigavši uspjeh na blagajnama koji mu je automatski osigurao financiranje nastavka.",0
"U redu, za okorjele ljubitelje horora ""Ubojstvo u Veneciji"" je tek kamilica, blagi horor povjetarac, ali za prethodne filmove te za većinu ostalih ekranizacija priča slavnog detektiva riječ je o značajnom iskoraku kada je o stravičnom ugođaju riječ.",1
"I to je trenutak kada Wilde ima priliku od Ne brini, draga napraviti izvrstan film.",1
"Peele me doslovno uvukao na onaj ranč, jednako kao što me i Spielberg prebacio na onu čuvenu plažu.",1
"Ona je naš znatiželjni prozor u vremenu, ispunjen pornografijom i slasher hororom.",0
"Naime, Fincher puca u razum gledatelja onog trenutka kada shvati(mo) kako smo se uspjeli povezati sa sociopatom.",0
Privlačnost se ne može kontrolirati.,1
"Međutim, ono što jest povezivalo sve te filmove, posebice po pitanju obožavanja, bio je zaštitni znak franšize Jigsaw.",1
I tu dolazimo do komadića slagalice koji je nedostajao franšizi.,1
Odnos između likova također mi je bio jako zanimljiv u ovom filmu.,1
"U redu, tradicija i običaji su važne stvari ne samo za vjersku instituciju već i za svako ljudsko biće bez obzira u što vjeruje, ali ponekad je stvari potrebno prilagoditi novim okolnostima i novom vremenu.",1
"""Meni"" je, de facto, simbioza društvene kritike i gastronomske satire, čija jela nisu tek namirnice na tanjuru, a koji isto tako izlazi izvan filmskih okvira.",1
"West je kroz ovaj film na neki način prikazao i društvo današnjice, posebice jer se i radnja filma odvija u vrijeme pandemije španjolske gripe.",1
"A kada se taj balans poremeti, dolazi do velikih posljedica.",1
"Florence Pugh (Princess Irulan) je također kratko u filmu, ali je bila odlična.",0
"Vjerujem kako smo svi mi osjetljivi na djecu te želimo da ona budu sigurna, osim kada su u pitanju ona što vrište kao nenormalna po trgovačkim centrima.",1
Nikako.,1
"Redatelj uopće ne želi opterećivati gledatelja s takvim detaljima, već umjesto toga pratimo trenutak i situaciju koja u nama stvara sve jaču i snažniju anksioznost.",1
Ili baš zato.,1
"Pa ipak, unatoč tom veselom tonu, nama je itekako jasno kako ono što slijedi nije nimalo veselo i šareno.",1
"Pa kad maknemo skepsu i nevjericu ostaje mnogo više mjesta za ono što je Eggersu bitno, a to je atmosferičnost.",1
"Također treba reći kako su oboje uvjerljivi i u solo scenama, jednako kao i kada zajedno dijele ekran.",0
"To kao posljedicu ima uvijek privlačnu nepredvidljivost, posebice kada pomisliš da si uspješno prognozirao ishod nekog (slijeda) razgovora.",0
"Reakcije kada likovi u filmu toga postanu svjesni, zapravo su i naše reakcije.",1
"Ta izjava dolazi s velikim upozorenjem, hoćete li se osjećati isto u potpunosti ovisi o tome što želite od filma Saw.",1
"Specijalni efekti korišteni pri animiranju demona mogu proći, s obzirom da ga ne vidimo puno jer većinu filma nemamo izravan pogled na njega.",0
"Umjetnost se konstantno mijenja i iako nam se čini da je ""prije uvijek bilo bolje"", kada vidim ovakav rad, apsolutno se mogu osmjehnuti i reći da ima autora u filmu danas koji mogu ispričati razne teme na itekako zanimljiv način.",0
"Bizarna situacija postaje vrlo opasna jednom kada Cecilija shvati kako će se njena trudnoća u potpunosti odvijati unutar turobnih zidina samostana, bez ikakvog doticaja s vanjskim svijetom, a posebno ne doktorima ili bolnicama.",2
"On pripada liberalnoj struji unutar Vatikana, stoga podržava jednako liberalnog kolegu Bellinija (Stanley Tucci), no početni rezultati glasovanja sugeriraju kako bi klatno moglo otići na stranu izrazito konzervativnog, nacionalistički orijentiranog kardinala Tedesca.",2
"Prije dvije godine u ovo je vrijeme Tom Cruise već ""spasio kinematografiju"" nastavkom ""Top Guna"", a dovoljno je reći ""Barbenheimer"" da se čovjek sjeti gomile novca koja je okrenuta prošloga ljeta u dvoranama diljem svijeta.",0
"Također, u većini tih franšiza redatelji previše stavljaju naglasak na nostalgiju, vjerojatno želeći na taj način ublažiti nedostatke u radnji.",2
"No, kada je u pitanju Evil Dead Rise, onda moram reći kako je ta nostalgija, iako prisutna, poprilično sramežljiva.",1
"""The Menu"" je režirao Mark Mylod koji je prethodnu slavu stekao kao redatelj određenih epizoda HBO-ovih serija kao što su ""Succession"" i ""Game of Thrones"".",1
"U njegovom slučaju, izraz da je osveta jelo koje se najbolje poslužuje hladno poprima mnogo doslovniju dimenziju jer Ubojica cijelo vrijeme daje do znanja da ništa od njegovog krvavog pohoda nije osobno. Što ga onda zapravo motivira.",1
Meni osobno je bilo malo previše. ali sve ono što sam gledao prije toga me jednostavno toliko kupilo da mi je The Substance svejedno jako dobar film.,1
"Sjetimo se samo odličnog švedskog horora ""Neka uđe onaj pravi"" koji je imao premijeru 2008. godine, da bismo također nakon dvije godine dobili i američku, jednako tako uspješnu verziju",0
"Kada se Elizabeth pretvori u Sue, mora se stabilizirati sedam dana, nakon čega se vraća u Elizabeth.",1
Upravo nam je to dao ovaj film humaniju stranu Johna Kramera.,1
"Godine 2005. američki filmaš Scott Derrickson realizirao je, prema vlastitom scenariju, dugometražni prvijenac ""Egzorcizam Emily Rose"".",1
"Prolaznost vremena najbolje se osjeća kroz â€˜surfanjeâ€™ s valovima, što posebno dolazi do izražaja treskanjem kamere nad kojom redatelj namjerno gubi kontrolu, kao čovjek nad prolaznošću vremena.",1
"Fincher nas za upoznavanje sa stvarnosti u kojem se nalazi glavni lik, metaforički rečeno, vodi kroz stranputicu, što me kao gledatelja (u)činilo itekako nervoznim.",0
"I, najvažnije od svega, može li se sve prljavija borba između konzervativnog i progresivnog tabora, a čiji će ishod odrediti daljnju putanju Crkve, pokazati dovoljno zavodljivom da Konklavi odlučite posvetiti točno dva sata svoga života?",1
"Sve se to odvija u Sikstinskoj kapeli u Vatikanu, svetom mjestu koje izgleda impresivno.",1
"Ništa protiv toga, ali ovdje ti likovi imaju poprilično većinski neuvjerljivo uvrnute dijaloge , i to u tolikoj mjeri da imaš osjećaj kao da su ga taj dan prvi put vidjeli i pročitali.",2
"Ovakvi eksplicitni horori rade do neke mjere, a kako se serijal sve više fokusirao na te segmente, postao sam manje zagrižen.",2
Svake godine nastojim minimalno pogledati one filmove koji se nađu u vrhu najvećih svjetskih festivala.,1
"Ti ljudi uopće nisu izgledali staro, što je zapravo najveći minus jer time gubiš najbitniji efekt samog filma.",2
Sam kraj je uzbudljiv barem u usporedbi s ostatkom filma no traje prekratko i ne nudi neko veliko razrješenje.,1
"""Dune: Part Two"" je film kroz koji nam je Denis Villeneuve uistinu ponudio kino iskustvo za pamćenje, poput kakvog arheologa koji je skinuo prašinu sa svih tih genijalnih ideja i tema koje je prije više od pola stoljeća stvorio veliki Frank Herbert te ih ponovno vratio u život.",0
"Za početak, već i stoga što će se veći ili manji skandali, obrati i verbalna šamaranja u Konklavi nizati takvom brzinom da će dotična gledateljevu pažnju bez po' muke držati od početka do kraja.",0
"To su, zapravo, posljedice koje su davno bile prisutne, samo što su sada u potpunosti izašle na površinu.",1
Najbolji opis za ovaj film definitivno je osmijeh glavne protagonistice.,1
"Srećom po nas filmofile, jer danas je Nosferatu film koji je najbolji dokaz vrijednosti horora.",0
Ovdje neće biti zajedništva ni ljubavi ni praštanja.,1
Malo je onih u sredini kojima je film možda samo. ok.,1
"Peele je s tim filmom uspio spojiti dva najpodcjenjenija filmska žanra horor i komediju, što je najteža moguća stvar koju je mogao napraviti.",1
"U toj ugodnoj i intimnoj atmosferi, započeo je film koji je od samog starta tu ugodu pretvorio u neugodu i kaos.",1
"Da, Eowyn.",1
Zbilja nemam ideju s kojim bih drugim filmom usporedila Sve u isto vrijeme.,1
Treba reći da se lik Cara u knjizi isto koristi više kao simbol i da zbog toga Cristopher Walken do samog kraja zapravo nema što raditi.,2
"Fizički je moćan, a on tu fiziku koristi za skrivanje i otkrivanje svog karaktera prema drugima.",1
"Iskreno, to je ono iskustvo gledanja filmova koje obožavam, kada si uključen u priču samim postavljanjem pitanja.",1
Meni je recimo puno važnije da sam se gledajući ovaj film itekako zabavio.,0
I upravo preko ove obiteljske drame prevučeno je nekoliko slojeva multiverzuma koji nam daju uvid u živote ovih likova u različitim svjetovima.,1
"Upravo iz tog razloga nisam osjetio skoro nikakvu povezanost s tim likovima, već su oni za mene predstavljali, eto, tamo neke ljude koji su se našli na plaži, i ništa više od toga.",1
"To, naravno, samo po sebi nije bilo jednostavno jer svaki prequel ne može pobjeći od činjenice kako gledatelj već zna u kojem će smjeru ići radnja.",1
"Kada je u pitanju ""Speak No Evil"", koliko god bio oduševljen danskim filmom, posebice mračnom atmosferom i osjećajem tjeskobe koji me držao dugo nakon odjavne špice, moram priznati kako mi je u samoj radnji ipak puno toga nedostajalo da bi mogao u potpunosti uživati u njemu.",1
Njena se depresivna priroda tako čini kao savršena metafora za nerazumijevanje.,0
"""Shadow of the Vampire"" E. Eliasa Merhigea koji priča fikcinaliziranu priču o nastanku Murnauovog remek-djela u kojoj John Malkovich igra slavnog redatelja, dok Maxa Schrecka, izvornog tumača grofa Orloka, igra Willem Defoe, glumac koji će značajnu ulogu lovca na vampire ostvariti i u najnovijoj verziji ""Nosferatua"", onoj u režiji novog zlatnog momka filma strave Roberta Eggersa koji je ovaj tjedan dopuzao i do naših kinodvorana.",1
"i klasom (""Us"" iz 2019.",1
"Nema nikakve dileme kako smo u posljednje vrijeme doslovno ubijeni, da upotrijebim prigodni horor izraz, raznim nastavcima poznatih horor franšiza.",2
"I upravo zbog prethodne rečenice (a unatoč manama) ""Ostarjeli"" zaslužuju Vašu pažnju.",1
"Zapravo kako se otkriva koja tajna i kako svaki od kandidata u određenom trenutku otkriva svoj pravi temperament i naum, tako se konstantno mijenja situacija u glasovima.",1
"No, isto tako moram priznati kako sam prije gledanja sam sebi postavio pitanje u stilu ""što mi zapravo može ponuditi novi naslov iz Evil Dead serijala?"" Remake iz 2013. godine, redatelja Fedea Alvareza, čiji sam veliki obožavatelj, bio mi je sasvim dovoljan da zaključi cijelu tu priču.",1
Ako ga uopće imaju.,1
"Timothee Chalamet (Paul Atreides) je apsolutno prvo glumačko ime ovog filma, uz svo poštovanje prema ostalim glumcima koji su, većinom svi, izvrsno odradili svoj posao.",0
Vizura savršenog svijeta (po uzoru na Woody Allenov svijet) uz glazbu jedini je plus filma.,1
"Točno takvim mogao bi se opisati i ""Nosferatu"".",1
"Tada se posebno izdvaja jeziva partitura starog majstora Trenta Reznora, dok sam film djeluje kao da ga je netko izvukao iz naftalina 70-ih, gdje jednostavnost diktira tempo radnje, dok unutarnji monolozi, baš poput zvukova gradova, definiraju odluke koje donosi protagonist.",0
Radi se o filmu koji će od sada biti na svim top listama najboljih filmova znanstvene fantastike.,0
Na kraju me opet uspio ostaviti bez teksta sa svojom izvedbom koja je u velikoj mjeri i glavni razlog zbog kojeg je ovaj remake vrijedan vaše pažnje.,0
"Konklava kakvu Berger prikazuje više izgleda kao izbor neke velike, moćne političke stranke nego vođe Katoličke crkve.",1
U kina je stigla za vrijeme američkog Memorial Weekenda koji je inače jedan od najprivlačnijih termina za rollout novih filmova u cijeloj godini,0
"Iako sam strahovao kako će njen lik biti tipična ""pokušaj humora karikatura"", ispostavilo se kako je ona jednako tako ranjiva ispod površine, samo što se sa svojim borbama i demonima nosi na jedan potpuno drugačiji način nego što to čini Rose.",0
"Ta kombinacija dugih kadrova, načina na koji su snimljeni, i sve to uz izbor glazbe, stila izvedbe glavne protagonistice, odnosno same njene osobnosti, stvorili su od ovog filma paletu boja koja neodoljivo podsjeća na neku uvrnutu kombinaciju Lyncha, Tarantina i Rodrigueza.",0
"""Konklava"" ima jednu od najjačih glumačkih ekipa godine.",0
"Dragi Frank, zabrini se.",2
"No, ono što Westov pristup izdvaja od ostalih svakako je način na koji ti kadrovi djeluju na nas, ali ne u trenutku kada ih gledamo već kroz ostatak filma, a što se onda prenosi i na naš pogled na samu radnju.",0
"Također, neki su likovi dobili puno više prostora i smisla, poput dječaka koji u originalu uopće nije imao nikakvu svrhu.",1
"Stvari se zakompliciraju u trenutku kada Evelyn i Waymond posjete inspektoricu Porezne uprave, Deirdre Beaubeirdre (Jamie Lee Curtis), Waymong nakratko postaje druga osoba, kao Evelynin interludij u beskonačno mnogo svemira kojih je ona dio, a kojima prijeti opasnost od Jobu Tupaki, čije stvoreno crno pecivo prijeti egzistenciji cjelokupnog multiverzuma.",1
"Demi Moore izvrsna je u ulozi Elizabeth Sparkle, a vjerujemo kako su se ona, a i mnoge starije (pa i mlađe) glumice poistovjetile s radnjom filma.",0
"Ono što će on otkriti jest toliko neočekivano da nećete moći povjerovati, ponajviše zbog toga što preokreti dolaze iz vedra neba i nemaju utemeljenja u postupcima likova, događajima koji su se odvili ili bilo kakvoj naznaci stvarnosti.",2
"Jedini problem na koji sam naišao leži u stilu redateljskog dua, kao i u publici na koju ovaj film cilja.",0
"Njene oči, sasvim prigodno, zapravo su i naše oči.",1
Sve prati vrlo zanimljiva glazba skladatelja Volkera Bertelmanna.,1
"Ali kao lik, Hank je zarobljen u ponavljanju istih trikova i fora koje se vrlo brzo izližu.",2
