SentenceID,Sentence,Annotator1(Ivan Carević,Annotator2(Ema Grahovac,Annotator3(Nikolina Pastorčić),Annotator4(Ana Baletić),Annotator5(Marina Biloš),Annotator6(Josipa Bebić)
1,"Film Barbie je po radnji, produkciji i budžetu potpuno drugačiji od dosadašnjih filmova koje je režirala Greta Gerwig.",2,2,2,2,2,2
2,Do sada je režirala filmove koji su budžetom i produkcijom bili značajno manji od Barbie.,2,2,2,2,2,2
3,"Ipak, ono što je ostalo isto kao i u svim ostalim njezinim filmovima, je odlična glumačka postava.",3,3,3,3,3,3
4,Nju predvode Margot Robbie i Ryan Gosling.,2,2,2,2,2,2
5,"Film značajno ovisi o njihovoj izvedbi, a to se posebice odnosi na Margot Robbie koja se nalazi gotovo u svakoj sceni.",2,2,2,2,2,2
6,Radnja filma započinje kada „stereotipna Barbie“ (Margot Robbie) krene razmišljati o smrti.,2,2,2,2,2,2
7,"Zbog takvih se misli krenu događati čudne stvari u Barbielandu, glavnoj lokaciji filma, gdje mnogo različitih Barbie i Kenova žive zajedno u harmoniji.",2,2,2,2,2,2
8,"Kako bi vratila svoj svijet u ravnotežu i normalnost, stereotipna Barbie mora krenuti na avanturu u stvarni svijet kako bi otkrila uzrok svojim egzistencijalnim mislima.",2,2,2,2,2,2
9,"Vrlo jednostavna ideja, ali Gerwig i takvom filmu, uspijeva dati emociju i unikatan stil.",3,3,3,3,3,3
10,"Najveći uspjesi Barbie osmišljeni iza kamere, su za mene tri stvari: stil i glazba, produkcijski dizajn i način na koji film šalje poruke o feminizmu, patrijarhatu i matrijarhatu.",3,3,3,3,3,3
11,S dovoljno sigurnosti mogu predvidjeti da će film biti nominiran za nagradu Oscar u kategoriji produkcijskog dizajna.,3,3,3,3,3,3
12,"Barbieland je potpuno roze boje, s mnogo detalja (razne Barbie kuće, alati, posuđe, plaža…) bez kojih ne bi imao duše.",2,2,2,2,2,2
13,"Barbieland je toliko imaginaran i lažan, ali kreiran toliko kvalitetno da nemamo nikakvih problema u njemu gledati sve najbitnije dijelove filma.",4,4,4,4,4,4
14,"Još jedna velika stvar koja je ostala u mojoj glavi nakon gledanja filma je glazba, odnosno soundtrack.",2,2,2,2,2,2
15,Posebice bi pohvalio Ryana Goslinga čije sam pjesme u glavi recitirao čim sam izašao iz kina.,3,3,3,3,3,3
