Sentence,Label,MovieID,Review ID,SentID,FilmID,ReviewID,SentenceID
"Čini se kao da svako toliko filmske kritike započinjemo sličnim uvodom, ali zbog potreba konteksta neke stvari valja ponavljati.",1,,,,,,
Svi vole seks.,1,,,,,,
"No, svatko tko je gledao film “Call Me by Your Name”, posebice zadnjih desetak minuta, nije mogao ne primijetiti koliki se glumački potencijal krije u njemu.",0,,,,,,
Svakako nemojte gledati ovaj naslov praznog želuca!,1,,,,,,
"Da li su se moje slutnje ostvarile, o tome nešto više na kraju recenzije.",0,,,,,,
No za sve to trebala je postojati podloga.,1,,,,,,
Ljudi – kakvi god bili…,1,,,,,,
Netko od njih je ubojica…,1,,,,,,
Na plus strani je zabavan nastup Sergija Castellitta u ulozi rigidnog kardinala Tedesca koji ni u konklavi ne prestaje pušiti vape.,0,,,,,,
No ono što je doista posebno  u ovoj priči jest Edgar Allan Poe.,1,,,,,,
"Shyamalan tako radi savršen kontrast između onoga što vidimo, i onoga što osjećamo.",2,,,,,,
"Prije dvije je godine objavljeno da se pretvaranja Harrisove knjige u film prihvatio austrijsko-švicarski redatelj Edward Berger (""Na Zapadu ništa novo"") te da će u njemu igrati Ralph Fiennes, John Lithgow, Stanley Tucci i Isabella Rossellini.",1,,,,,,
"Imam utisak da su se autorka i glumac fino zabavljali sa ovim, posebno kada Oliver spusti veo neuklopljenosti i učtivosti da bi otkrio nešto više slično njegovoj pravoj prirodi.",1,,,,,,
"Upravo je zbog toga i napisao roman “Mesija Dine”, a kojeg Villeneuve također planira ekranizirati.",1,,,,,,
Postoji li ijedna priča o multiverzumu u kojem to nije prijetnja?,1,,,,,,
"Napet, iznadprosječno režiran i odglumljen, kao i vizualno zavodljiv, najnoviji Bergerov uradak bilo bi moguće objeručke preporučiti, samo da nije te jedne nesretne sitničice...",1,,,,,,
Fokus filma je zapravo na jednom događaju koji se odvija unutar Katoličke crkve na vrlo tajanstven način – izbor novog pape.,0,,,,,,
"Film Meni (The Menu, 2022) nije mi baš pretjerano obećavao.",2,,,,,,
Nije za svakoga,1,,,,,,
"Kada su u pitanju mane filma, onda bih eventualno mogao izdvojiti ponavljanje po pitanju samih igrica, a što je, ruku na srce, teško i bilo izbjeći.",1,,,,,,
"Umjesto toga, tone u san, odnosno pomoć potražuje u modernoj tehnologiji koja je spremna na najlakši mogući način riješiti sve probleme te odvesti osobu ili osobe u virtualni svijet koji je identičan kao ovaj realan, osim što se u njemu živi savršeno.",1,,,,,,
Film koji većinom vremena funkcionira na vrlo uvjerljiv način i bavi se odnosima unutar crkvene zajednice pada u finalu filma.,1,,,,,,
"Svi elementi koji tu atmosferu grade, od Ubojičinih unutarnjih monologa i brutalnog nasilja do opresivne drone glazbe i brojnih noćnih scena, kao da čine različite slojeve koji ne liježu skladno u cjelinu koja bi se izdigla iznad pojedinačnih elemenata.",2,,,,,,
Postoji barem tri ili četiri scene koje ću pamtiti zauvijek.,0,,,,,,
Opsjednutost mladosti u stvarnom životu očituje se u botoksu i raznim estetskim operacijama i tretmanima koji za cilj imaju spriječiti taj prirodan i posve normalan proces.,1,,,,,,
"Strah od starenja, usamljenost, osjećaj prolaznosti i nebitnosti univerzalni su dio svakog ljudskog postojanja.",1,,,,,,
Ona propituje sam smisao života i svrhu svog postojanja.,1,,,,,,
"Michelle Yeoh donosi potrebnu dubinu u cijelu radnju uz asistenciju Quana, Lee Curtis, Hsu i drugih glumaca koji se idealno uklapaju u bizarnost cijelog fabularnog koncepta.",1,,,,,,
U “The Menu” imamo određene situacije u kojima gledamo ljude koje se kažnjava isključivo iz razloga što imaju mnogo novca.,1,,,,,,
"No, ako me pitate da li ga se isplati pogledati u kinu, unatoč svim manama, moj odgovor bi ipak bio potvrdan.",0,,,,,,
Dvije različite slike u jednom kadru odmah nas tjera na pitanja za koja nismo sigurni da li uopće želimo znati odgovore.,0,,,,,,
